Cultivo,Metodo,Nutriente,pH_clase,Eficiencia
Maiz,Enterrado,Nitrogeno,Muy acido,
Maiz,Enterrado,Nitrogeno,Acido,
Maiz,Enterrado,Nitrogeno,Neutro,0.5
Maiz,Enterrado,Nitrogeno,Basico,
Maiz,Enterrado,Nitrogeno,Muy basico,
Maiz,Enterrado,Fosforo,Muy acido,
Maiz,Enterrado,Fosforo,Acido,
Maiz,Enterrado,Fosforo,Neutro,0.5
Maiz,Enterrado,Fosforo,Basico,
Maiz,Enterrado,Fosforo,Muy basico,
Maiz,Enterrado,Potasio,Muy acido,
Maiz,Enterrado,Potasio,Acido,
Maiz,Enterrado,Potasio,Neutro,0.5
Maiz,Enterrado,Potasio,Basico,
Maiz,Enterrado,Potasio,Muy basico,
Maiz,Enterrado,Calcio,Muy acido,
Maiz,Enterrado,Calcio,Acido,
Maiz,Enterrado,Calcio,Neutro,0.5
Maiz,Enterrado,Calcio,Basico,
Maiz,Enterrado,Calcio,Muy basico,
Maiz,Enterrado,Magnesio,Muy acido,
Maiz,Enterrado,Magnesio,Acido,
Maiz,Enterrado,Magnesio,Neutro,0.5
Maiz,Enterrado,Magnesio,Basico,
Maiz,Enterrado,Magnesio,Muy basico,
Maiz,Enterrado,Azufre,Muy acido,
Maiz,Enterrado,Azufre,Acido,
Maiz,Enterrado,Azufre,Neutro,0.5
Maiz,Enterrado,Azufre,Basico,
Maiz,Enterrado,Azufre,Muy basico,
Maiz,Pateado,Nitrogeno,Muy acido,
Maiz,Pateado,Nitrogeno,Acido,
Maiz,Pateado,Nitrogeno,Neutro,
Maiz,Pateado,Nitrogeno,Basico,
Maiz,Pateado,Nitrogeno,Muy basico,
Maiz,Pateado,Fosforo,Muy acido,
Maiz,Pateado,Fosforo,Acido,
Maiz,Pateado,Fosforo,Neutro,
Maiz,Pateado,Fosforo,Basico,
Maiz,Pateado,Fosforo,Muy basico,
Maiz,Pateado,Potasio,Muy acido,
Maiz,Pateado,Potasio,Acido,
Maiz,Pateado,Potasio,Neutro,
Maiz,Pateado,Potasio,Basico,
Maiz,Pateado,Potasio,Muy basico,
Maiz,Pateado,Calcio,Muy acido,
Maiz,Pateado,Calcio,Acido,
Maiz,Pateado,Calcio,Neutro,
Maiz,Pateado,Calcio,Basico,
Maiz,Pateado,Calcio,Muy basico,
Maiz,Pateado,Magnesio,Muy acido,
Maiz,Pateado,Magnesio,Acido,
Maiz,Pateado,Magnesio,Neutro,
Maiz,Pateado,Magnesio,Basico,
Maiz,Pateado,Magnesio,Muy basico,
Maiz,Pateado,Azufre,Muy acido,
Maiz,Pateado,Azufre,Acido,
Maiz,Pateado,Azufre,Neutro,
Maiz,Pateado,Azufre,Basico,
Maiz,Pateado,Azufre,Muy basico,
Maiz,Voleo,Nitrogeno,Muy acido,
Maiz,Voleo,Nitrogeno,Acido,
Maiz,Voleo,Nitrogeno,Neutro,0.5
Maiz,Voleo,Nitrogeno,Basico,
Maiz,Voleo,Nitrogeno,Muy basico,
Maiz,Voleo,Fosforo,Muy acido,
Maiz,Voleo,Fosforo,Acido,
Maiz,Voleo,Fosforo,Neutro,0.5
Maiz,Voleo,Fosforo,Basico,
Maiz,Voleo,Fosforo,Muy basico,
Maiz,Voleo,Potasio,Muy acido,
Maiz,Voleo,Potasio,Acido,
Maiz,Voleo,Potasio,Neutro,0.5
Maiz,Voleo,Potasio,Basico,
Maiz,Voleo,Potasio,Muy basico,
Maiz,Voleo,Calcio,Muy acido,
Maiz,Voleo,Calcio,Acido,
Maiz,Voleo,Calcio,Neutro,0.5
Maiz,Voleo,Calcio,Basico,
Maiz,Voleo,Calcio,Muy basico,
Maiz,Voleo,Magnesio,Muy acido,
Maiz,Voleo,Magnesio,Acido,
Maiz,Voleo,Magnesio,Neutro,0.5
Maiz,Voleo,Magnesio,Basico,
Maiz,Voleo,Magnesio,Muy basico,
Maiz,Voleo,Azufre,Muy acido,
Maiz,Voleo,Azufre,Acido,
Maiz,Voleo,Azufre,Neutro,0.5
Maiz,Voleo,Azufre,Basico,
Maiz,Voleo,Azufre,Muy basico,
Frijol,Enterrado,Nitrogeno,Muy acido,
Frijol,Enterrado,Nitrogeno,Acido,
Frijol,Enterrado,Nitrogeno,Neutro,
Frijol,Enterrado,Nitrogeno,Basico,
Frijol,Enterrado,Nitrogeno,Muy basico,
Frijol,Enterrado,Fosforo,Muy acido,
Frijol,Enterrado,Fosforo,Acido,
Frijol,Enterrado,Fosforo,Neutro,
Frijol,Enterrado,Fosforo,Basico,
Frijol,Enterrado,Fosforo,Muy basico,
Frijol,Enterrado,Potasio,Muy acido,
Frijol,Enterrado,Potasio,Acido,
Frijol,Enterrado,Potasio,Neutro,
Frijol,Enterrado,Potasio,Basico,
Frijol,Enterrado,Potasio,Muy basico,
Frijol,Enterrado,Calcio,Muy acido,
Frijol,Enterrado,Calcio,Acido,
Frijol,Enterrado,Calcio,Neutro,
Frijol,Enterrado,Calcio,Basico,
Frijol,Enterrado,Calcio,Muy basico,
Frijol,Enterrado,Magnesio,Muy acido,
Frijol,Enterrado,Magnesio,Acido,
Frijol,Enterrado,Magnesio,Neutro,
Frijol,Enterrado,Magnesio,Basico,
Frijol,Enterrado,Magnesio,Muy basico,
Frijol,Enterrado,Azufre,Muy acido,
Frijol,Enterrado,Azufre,Acido,
Frijol,Enterrado,Azufre,Neutro,
Frijol,Enterrado,Azufre,Basico,
Frijol,Enterrado,Azufre,Muy basico,
Frijol,Pateado,Nitrogeno,Muy acido,
Frijol,Pateado,Nitrogeno,Acido,
Frijol,Pateado,Nitrogeno,Neutro,
Frijol,Pateado,Nitrogeno,Basico,
Frijol,Pateado,Nitrogeno,Muy basico,
Frijol,Pateado,Fosforo,Muy acido,
Frijol,Pateado,Fosforo,Acido,
Frijol,Pateado,Fosforo,Neutro,
Frijol,Pateado,Fosforo,Basico,
Frijol,Pateado,Fosforo,Muy basico,
Frijol,Pateado,Potasio,Muy acido,
Frijol,Pateado,Potasio,Acido,
Frijol,Pateado,Potasio,Neutro,
Frijol,Pateado,Potasio,Basico,
Frijol,Pateado,Potasio,Muy basico,
Frijol,Pateado,Calcio,Muy acido,
Frijol,Pateado,Calcio,Acido,
Frijol,Pateado,Calcio,Neutro,
Frijol,Pateado,Calcio,Basico,
Frijol,Pateado,Calcio,Muy basico,
Frijol,Pateado,Magnesio,Muy acido,
Frijol,Pateado,Magnesio,Acido,
Frijol,Pateado,Magnesio,Neutro,
Frijol,Pateado,Magnesio,Basico,
Frijol,Pateado,Magnesio,Muy basico,
Frijol,Pateado,Azufre,Muy acido,
Frijol,Pateado,Azufre,Acido,
Frijol,Pateado,Azufre,Neutro,
Frijol,Pateado,Azufre,Basico,
Frijol,Pateado,Azufre,Muy basico,
Frijol,Voleo,Nitrogeno,Muy acido,
Frijol,Voleo,Nitrogeno,Acido,
Frijol,Voleo,Nitrogeno,Neutro,
Frijol,Voleo,Nitrogeno,Basico,
Frijol,Voleo,Nitrogeno,Muy basico,
Frijol,Voleo,Fosforo,Muy acido,
Frijol,Voleo,Fosforo,Acido,
Frijol,Voleo,Fosforo,Neutro,
Frijol,Voleo,Fosforo,Basico,
Frijol,Voleo,Fosforo,Muy basico,
Frijol,Voleo,Potasio,Muy acido,
Frijol,Voleo,Potasio,Acido,
Frijol,Voleo,Potasio,Neutro,
Frijol,Voleo,Potasio,Basico,
Frijol,Voleo,Potasio,Muy basico,
Frijol,Voleo,Calcio,Muy acido,
Frijol,Voleo,Calcio,Acido,
Frijol,Voleo,Calcio,Neutro,
Frijol,Voleo,Calcio,Basico,
Frijol,Voleo,Calcio,Muy basico,
Frijol,Voleo,Magnesio,Muy acido,
Frijol,Voleo,Magnesio,Acido,
Frijol,Voleo,Magnesio,Neutro,
Frijol,Voleo,Magnesio,Basico,
Frijol,Voleo,Magnesio,Muy basico,
Frijol,Voleo,Azufre,Muy acido,
Frijol,Voleo,Azufre,Acido,
Frijol,Voleo,Azufre,Neutro,
Frijol,Voleo,Azufre,Basico,
Frijol,Voleo,Azufre,Muy basico,
Trigo,Enterrado,Nitrogeno,Muy acido,
Trigo,Enterrado,Nitrogeno,Acido,
Trigo,Enterrado,Nitrogeno,Neutro,
Trigo,Enterrado,Nitrogeno,Basico,
Trigo,Enterrado,Nitrogeno,Muy basico,
Trigo,Enterrado,Fosforo,Muy acido,
Trigo,Enterrado,Fosforo,Acido,
Trigo,Enterrado,Fosforo,Neutro,
Trigo,Enterrado,Fosforo,Basico,
Trigo,Enterrado,Fosforo,Muy basico,
Trigo,Enterrado,Potasio,Muy acido,
Trigo,Enterrado,Potasio,Acido,
Trigo,Enterrado,Potasio,Neutro,
Trigo,Enterrado,Potasio,Basico,
Trigo,Enterrado,Potasio,Muy basico,
Trigo,Enterrado,Calcio,Muy acido,
Trigo,Enterrado,Calcio,Acido,
Trigo,Enterrado,Calcio,Neutro,
Trigo,Enterrado,Calcio,Basico,
Trigo,Enterrado,Calcio,Muy basico,
Trigo,Enterrado,Magnesio,Muy acido,
Trigo,Enterrado,Magnesio,Acido,
Trigo,Enterrado,Magnesio,Neutro,
Trigo,Enterrado,Magnesio,Basico,
Trigo,Enterrado,Magnesio,Muy basico,
Trigo,Enterrado,Azufre,Muy acido,
Trigo,Enterrado,Azufre,Acido,
Trigo,Enterrado,Azufre,Neutro,
Trigo,Enterrado,Azufre,Basico,
Trigo,Enterrado,Azufre,Muy basico,
Trigo,Pateado,Nitrogeno,Muy acido,
Trigo,Pateado,Nitrogeno,Acido,
Trigo,Pateado,Nitrogeno,Neutro,
Trigo,Pateado,Nitrogeno,Basico,
Trigo,Pateado,Nitrogeno,Muy basico,
Trigo,Pateado,Fosforo,Muy acido,
Trigo,Pateado,Fosforo,Acido,
Trigo,Pateado,Fosforo,Neutro,
Trigo,Pateado,Fosforo,Basico,
Trigo,Pateado,Fosforo,Muy basico,
Trigo,Pateado,Potasio,Muy acido,
Trigo,Pateado,Potasio,Acido,
Trigo,Pateado,Potasio,Neutro,
Trigo,Pateado,Potasio,Basico,
Trigo,Pateado,Potasio,Muy basico,
Trigo,Pateado,Calcio,Muy acido,
Trigo,Pateado,Calcio,Acido,
Trigo,Pateado,Calcio,Neutro,
Trigo,Pateado,Calcio,Basico,
Trigo,Pateado,Calcio,Muy basico,
Trigo,Pateado,Magnesio,Muy acido,
Trigo,Pateado,Magnesio,Acido,
Trigo,Pateado,Magnesio,Neutro,
Trigo,Pateado,Magnesio,Basico,
Trigo,Pateado,Magnesio,Muy basico,
Trigo,Pateado,Azufre,Muy acido,
Trigo,Pateado,Azufre,Acido,
Trigo,Pateado,Azufre,Neutro,
Trigo,Pateado,Azufre,Basico,
Trigo,Pateado,Azufre,Muy basico,
Trigo,Voleo,Nitrogeno,Muy acido,
Trigo,Voleo,Nitrogeno,Acido,
Trigo,Voleo,Nitrogeno,Neutro,
Trigo,Voleo,Nitrogeno,Basico,
Trigo,Voleo,Nitrogeno,Muy basico,
Trigo,Voleo,Fosforo,Muy acido,
Trigo,Voleo,Fosforo,Acido,
Trigo,Voleo,Fosforo,Neutro,
Trigo,Voleo,Fosforo,Basico,
Trigo,Voleo,Fosforo,Muy basico,
Trigo,Voleo,Potasio,Muy acido,
Trigo,Voleo,Potasio,Acido,
Trigo,Voleo,Potasio,Neutro,
Trigo,Voleo,Potasio,Basico,
Trigo,Voleo,Potasio,Muy basico,
Trigo,Voleo,Calcio,Muy acido,
Trigo,Voleo,Calcio,Acido,
Trigo,Voleo,Calcio,Neutro,
Trigo,Voleo,Calcio,Basico,
Trigo,Voleo,Calcio,Muy basico,
Trigo,Voleo,Magnesio,Muy acido,
Trigo,Voleo,Magnesio,Acido,
Trigo,Voleo,Magnesio,Neutro,
Trigo,Voleo,Magnesio,Basico,
Trigo,Voleo,Magnesio,Muy basico,
Trigo,Voleo,Azufre,Muy acido,
Trigo,Voleo,Azufre,Acido,
Trigo,Voleo,Azufre,Neutro,
Trigo,Voleo,Azufre,Basico,
Trigo,Voleo,Azufre,Muy basico,
Arroz,Enterrado,Nitrogeno,Muy acido,
Arroz,Enterrado,Nitrogeno,Acido,
Arroz,Enterrado,Nitrogeno,Neutro,
Arroz,Enterrado,Nitrogeno,Basico,
Arroz,Enterrado,Nitrogeno,Muy basico,
Arroz,Enterrado,Fosforo,Muy acido,
Arroz,Enterrado,Fosforo,Acido,
Arroz,Enterrado,Fosforo,Neutro,
Arroz,Enterrado,Fosforo,Basico,
Arroz,Enterrado,Fosforo,Muy basico,
Arroz,Enterrado,Potasio,Muy acido,
Arroz,Enterrado,Potasio,Acido,
Arroz,Enterrado,Potasio,Neutro,
Arroz,Enterrado,Potasio,Basico,
Arroz,Enterrado,Potasio,Muy basico,
Arroz,Enterrado,Calcio,Muy acido,
Arroz,Enterrado,Calcio,Acido,
Arroz,Enterrado,Calcio,Neutro,
Arroz,Enterrado,Calcio,Basico,
Arroz,Enterrado,Calcio,Muy basico,
Arroz,Enterrado,Magnesio,Muy acido,
Arroz,Enterrado,Magnesio,Acido,
Arroz,Enterrado,Magnesio,Neutro,
Arroz,Enterrado,Magnesio,Basico,
Arroz,Enterrado,Magnesio,Muy basico,
Arroz,Enterrado,Azufre,Muy acido,
Arroz,Enterrado,Azufre,Acido,
Arroz,Enterrado,Azufre,Neutro,
Arroz,Enterrado,Azufre,Basico,
Arroz,Enterrado,Azufre,Muy basico,
Arroz,Pateado,Nitrogeno,Muy acido,
Arroz,Pateado,Nitrogeno,Acido,
Arroz,Pateado,Nitrogeno,Neutro,
Arroz,Pateado,Nitrogeno,Basico,
Arroz,Pateado,Nitrogeno,Muy basico,
Arroz,Pateado,Fosforo,Muy acido,
Arroz,Pateado,Fosforo,Acido,
Arroz,Pateado,Fosforo,Neutro,
Arroz,Pateado,Fosforo,Basico,
Arroz,Pateado,Fosforo,Muy basico,
Arroz,Pateado,Potasio,Muy acido,
Arroz,Pateado,Potasio,Acido,
Arroz,Pateado,Potasio,Neutro,
Arroz,Pateado,Potasio,Basico,
Arroz,Pateado,Potasio,Muy basico,
Arroz,Pateado,Calcio,Muy acido,
Arroz,Pateado,Calcio,Acido,
Arroz,Pateado,Calcio,Neutro,
Arroz,Pateado,Calcio,Basico,
Arroz,Pateado,Calcio,Muy basico,
Arroz,Pateado,Magnesio,Muy acido,
Arroz,Pateado,Magnesio,Acido,
Arroz,Pateado,Magnesio,Neutro,
Arroz,Pateado,Magnesio,Basico,
Arroz,Pateado,Magnesio,Muy basico,
Arroz,Pateado,Azufre,Muy acido,
Arroz,Pateado,Azufre,Acido,
Arroz,Pateado,Azufre,Neutro,
Arroz,Pateado,Azufre,Basico,
Arroz,Pateado,Azufre,Muy basico,
Arroz,Voleo,Nitrogeno,Muy acido,
Arroz,Voleo,Nitrogeno,Acido,
Arroz,Voleo,Nitrogeno,Neutro,
Arroz,Voleo,Nitrogeno,Basico,
Arroz,Voleo,Nitrogeno,Muy basico,
Arroz,Voleo,Fosforo,Muy acido,
Arroz,Voleo,Fosforo,Acido,
Arroz,Voleo,Fosforo,Neutro,
Arroz,Voleo,Fosforo,Basico,
Arroz,Voleo,Fosforo,Muy basico,
Arroz,Voleo,Potasio,Muy acido,
Arroz,Voleo,Potasio,Acido,
Arroz,Voleo,Potasio,Neutro,
Arroz,Voleo,Potasio,Basico,
Arroz,Voleo,Potasio,Muy basico,
Arroz,Voleo,Calcio,Muy acido,
Arroz,Voleo,Calcio,Acido,
Arroz,Voleo,Calcio,Neutro,
Arroz,Voleo,Calcio,Basico,
Arroz,Voleo,Calcio,Muy basico,
Arroz,Voleo,Magnesio,Muy acido,
Arroz,Voleo,Magnesio,Acido,
Arroz,Voleo,Magnesio,Neutro,
Arroz,Voleo,Magnesio,Basico,
Arroz,Voleo,Magnesio,Muy basico,
Arroz,Voleo,Azufre,Muy acido,
Arroz,Voleo,Azufre,Acido,
Arroz,Voleo,Azufre,Neutro,
Arroz,Voleo,Azufre,Basico,
Arroz,Voleo,Azufre,Muy basico,
Cana_azucar,Enterrado,Nitrogeno,Muy acido,
Cana_azucar,Enterrado,Nitrogeno,Acido,
Cana_azucar,Enterrado,Nitrogeno,Neutro,
Cana_azucar,Enterrado,Nitrogeno,Basico,
Cana_azucar,Enterrado,Nitrogeno,Muy basico,
Cana_azucar,Enterrado,Fosforo,Muy acido,
Cana_azucar,Enterrado,Fosforo,Acido,
Cana_azucar,Enterrado,Fosforo,Neutro,
Cana_azucar,Enterrado,Fosforo,Basico,
Cana_azucar,Enterrado,Fosforo,Muy basico,
Cana_azucar,Enterrado,Potasio,Muy acido,
Cana_azucar,Enterrado,Potasio,Acido,
Cana_azucar,Enterrado,Potasio,Neutro,
Cana_azucar,Enterrado,Potasio,Basico,
Cana_azucar,Enterrado,Potasio,Muy basico,
Cana_azucar,Enterrado,Calcio,Muy acido,
Cana_azucar,Enterrado,Calcio,Acido,
Cana_azucar,Enterrado,Calcio,Neutro,
Cana_azucar,Enterrado,Calcio,Basico,
Cana_azucar,Enterrado,Calcio,Muy basico,
Cana_azucar,Enterrado,Magnesio,Muy acido,
Cana_azucar,Enterrado,Magnesio,Acido,
Cana_azucar,Enterrado,Magnesio,Neutro,
Cana_azucar,Enterrado,Magnesio,Basico,
Cana_azucar,Enterrado,Magnesio,Muy basico,
Cana_azucar,Enterrado,Azufre,Muy acido,
Cana_azucar,Enterrado,Azufre,Acido,
Cana_azucar,Enterrado,Azufre,Neutro,
Cana_azucar,Enterrado,Azufre,Basico,
Cana_azucar,Enterrado,Azufre,Muy basico,
Cana_azucar,Pateado,Nitrogeno,Muy acido,
Cana_azucar,Pateado,Nitrogeno,Acido,
Cana_azucar,Pateado,Nitrogeno,Neutro,
Cana_azucar,Pateado,Nitrogeno,Basico,
Cana_azucar,Pateado,Nitrogeno,Muy basico,
Cana_azucar,Pateado,Fosforo,Muy acido,
Cana_azucar,Pateado,Fosforo,Acido,
Cana_azucar,Pateado,Fosforo,Neutro,
Cana_azucar,Pateado,Fosforo,Basico,
Cana_azucar,Pateado,Fosforo,Muy basico,
Cana_azucar,Pateado,Potasio,Muy acido,
Cana_azucar,Pateado,Potasio,Acido,
Cana_azucar,Pateado,Potasio,Neutro,
Cana_azucar,Pateado,Potasio,Basico,
Cana_azucar,Pateado,Potasio,Muy basico,
Cana_azucar,Pateado,Calcio,Muy acido,
Cana_azucar,Pateado,Calcio,Acido,
Cana_azucar,Pateado,Calcio,Neutro,
Cana_azucar,Pateado,Calcio,Basico,
Cana_azucar,Pateado,Calcio,Muy basico,
Cana_azucar,Pateado,Magnesio,Muy acido,
Cana_azucar,Pateado,Magnesio,Acido,
Cana_azucar,Pateado,Magnesio,Neutro,
Cana_azucar,Pateado,Magnesio,Basico,
Cana_azucar,Pateado,Magnesio,Muy basico,
Cana_azucar,Pateado,Azufre,Muy acido,
Cana_azucar,Pateado,Azufre,Acido,
Cana_azucar,Pateado,Azufre,Neutro,
Cana_azucar,Pateado,Azufre,Basico,
Cana_azucar,Pateado,Azufre,Muy basico,
Cana_azucar,Voleo,Nitrogeno,Muy acido,
Cana_azucar,Voleo,Nitrogeno,Acido,
Cana_azucar,Voleo,Nitrogeno,Neutro,
Cana_azucar,Voleo,Nitrogeno,Basico,
Cana_azucar,Voleo,Nitrogeno,Muy basico,
Cana_azucar,Voleo,Fosforo,Muy acido,
Cana_azucar,Voleo,Fosforo,Acido,
Cana_azucar,Voleo,Fosforo,Neutro,
Cana_azucar,Voleo,Fosforo,Basico,
Cana_azucar,Voleo,Fosforo,Muy basico,
Cana_azucar,Voleo,Potasio,Muy acido,
Cana_azucar,Voleo,Potasio,Acido,
Cana_azucar,Voleo,Potasio,Neutro,
Cana_azucar,Voleo,Potasio,Basico,
Cana_azucar,Voleo,Potasio,Muy basico,
Cana_azucar,Voleo,Calcio,Muy acido,
Cana_azucar,Voleo,Calcio,Acido,
Cana_azucar,Voleo,Calcio,Neutro,
Cana_azucar,Voleo,Calcio,Basico,
Cana_azucar,Voleo,Calcio,Muy basico,
Cana_azucar,Voleo,Magnesio,Muy acido,
Cana_azucar,Voleo,Magnesio,Acido,
Cana_azucar,Voleo,Magnesio,Neutro,
